"","line","lyric","element","track_name","album_name"
"1",1,"He said the way my blue eyes shined","Verse 1","Tim McGraw","Taylor Swift"
"2",2,"Put those Georgia stars to shame that night","Verse 1","Tim McGraw","Taylor Swift"
"3",3,"I said, ""That's a lie""","Verse 1","Tim McGraw","Taylor Swift"
"4",4,"Just a boy in a Chevy truck","Verse 1","Tim McGraw","Taylor Swift"
"5",5,"That had a tendency of gettin' stuck","Verse 1","Tim McGraw","Taylor Swift"
"6",6,"On backroads at night","Verse 1","Tim McGraw","Taylor Swift"
"7",7,"And I was right there beside him all summer long","Verse 1","Tim McGraw","Taylor Swift"
"8",8,"And then the time we woke up to find that summer gone","Verse 1","Tim McGraw","Taylor Swift"
"9",9,"But when you think Tim McGraw","Chorus","Tim McGraw","Taylor Swift"
"10",10,"I hope you think my favorite song","Chorus","Tim McGraw","Taylor Swift"
"11",11,"The one we danced to all night long","Chorus","Tim McGraw","Taylor Swift"
"12",12,"The moon like a spotlight on the lake","Chorus","Tim McGraw","Taylor Swift"
"13",13,"When you think happiness","Chorus","Tim McGraw","Taylor Swift"
"14",14,"I hope you think that little black dress","Chorus","Tim McGraw","Taylor Swift"
"15",15,"Think of my head on your chest","Chorus","Tim McGraw","Taylor Swift"
"16",16,"And my old faded blue jeans","Chorus","Tim McGraw","Taylor Swift"
"17",17,"When you think Tim McGraw","Chorus","Tim McGraw","Taylor Swift"
"18",18,"I hope you think of me","Chorus","Tim McGraw","Taylor Swift"
"19",19,"September saw a month of tears","Verse 2","Tim McGraw","Taylor Swift"
"20",20,"And thankin' God that you weren't here","Verse 2","Tim McGraw","Taylor Swift"
"21",21,"To see me like that","Verse 2","Tim McGraw","Taylor Swift"
"22",22,"But in a box beneath my bed","Verse 2","Tim McGraw","Taylor Swift"
"23",23,"Is a letter that you never read","Verse 2","Tim McGraw","Taylor Swift"
"24",24,"From three summers back","Verse 2","Tim McGraw","Taylor Swift"
"25",25,"It's hard not to find it all a little bittersweet","Verse 2","Tim McGraw","Taylor Swift"
"26",26,"And lookin' back on all of that, it's nice to believe","Verse 2","Tim McGraw","Taylor Swift"
"27",27,"When you think Tim McGraw","Chorus","Tim McGraw","Taylor Swift"
"28",28,"I hope you think my favorite song","Chorus","Tim McGraw","Taylor Swift"
"29",29,"The one we danced to all night long","Chorus","Tim McGraw","Taylor Swift"
"30",30,"The moon like a spotlight on the lake","Chorus","Tim McGraw","Taylor Swift"
"31",31,"When you think happiness","Chorus","Tim McGraw","Taylor Swift"
"32",32,"I hope you think that little black dress","Chorus","Tim McGraw","Taylor Swift"
"33",33,"Think of my head on your chest","Chorus","Tim McGraw","Taylor Swift"
"34",34,"And my old faded blue jeans","Chorus","Tim McGraw","Taylor Swift"
"35",35,"When you think Tim McGraw","Chorus","Tim McGraw","Taylor Swift"
"36",36,"I hope you think of me","Chorus","Tim McGraw","Taylor Swift"
"37",37,"And I'm back for the first time since then","Bridge","Tim McGraw","Taylor Swift"
"38",38,"I'm standin' on your street","Bridge","Tim McGraw","Taylor Swift"
"39",39,"And there's a letter left on your doorstep","Bridge","Tim McGraw","Taylor Swift"
