"","track_name","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","duration_ms","explicit","key_name","mode_name","key_mode","album_name","album_release_date","track_id","album_id"
"1","Tim McGraw",0.58,0.491,-6.462,0.0251,0.575,0,0.121,0.425,76.009,4,232106,FALSE,"C","major","C major","Taylor Swift",2006-10-24,"2Fn01AIMyHbha2ceNQeOqw","5eyZZoQEFQWRHkV2xgAeBw"
"2","Picture To Burn",0.658,0.877,-2.098,0.0323,0.173,0,0.0962,0.821,105.586,4,173066,FALSE,"G","major","G major","Taylor Swift",2006-10-24,"4BYejINgfZF0qKDMEH2cim","5eyZZoQEFQWRHkV2xgAeBw"
"3","Teardrops On My Guitar",0.621,0.417,-6.941,0.0231,0.288,0,0.119,0.289,99.953,4,203040,FALSE,"A#","major","A# major","Taylor Swift",2006-10-24,"2TF4UtYreqNbQ6Z9AccldU","5eyZZoQEFQWRHkV2xgAeBw"
"4","A Place in this World",0.576,0.777,-2.881,0.0324,0.051,0,0.32,0.428,115.028,4,199200,FALSE,"A","major","A major","Taylor Swift",2006-10-24,"1oR4MUBpyNrAViC8wPNpfm","5eyZZoQEFQWRHkV2xgAeBw"
"5","Cold As You",0.418,0.482,-5.769,0.0266,0.217,0,0.123,0.261,175.558,4,239013,FALSE,"F","major","F major","Taylor Swift",2006-10-24,"569sXXQ7t0jSdqHooi2yqs","5eyZZoQEFQWRHkV2xgAeBw"
"6","The Outside",0.589,0.805,-4.055,0.0293,0.00491,0,0.24,0.591,112.982,4,207106,FALSE,"F","major","F major","Taylor Swift",2006-10-24,"5Tj2MqcFMf60CaGsKbM1aq","5eyZZoQEFQWRHkV2xgAeBw"
"7","Tied Together with a Smile",0.479,0.578,-4.963,0.0294,0.525,0,0.0841,0.192,146.165,4,248106,FALSE,"D","major","D major","Taylor Swift",2006-10-24,"2zzxwmoOBnXDT0KnJsoIWk","5eyZZoQEFQWRHkV2xgAeBw"
"8","Stay Beautiful",0.594,0.629,-4.919,0.0246,0.0868,0,0.137,0.504,131.597,4,236053,FALSE,"G#","major","G# major","Taylor Swift",2006-10-24,"41sjzdjScVwnxnxADElts6","5eyZZoQEFQWRHkV2xgAeBw"
"9","Should've Said No",0.476,0.777,-3.771,0.0289,0.0103,0,0.196,0.472,167.964,4,242200,FALSE,"E","minor","E minor","Taylor Swift",2006-10-24,"6CdaXOq1MWe2JHDalTG01d","5eyZZoQEFQWRHkV2xgAeBw"
"10","Mary's Song (Oh My My My)",0.403,0.627,-5.28,0.0292,0.0177,0,0.182,0.374,74.9,4,213080,FALSE,"D","major","D major","Taylor Swift",2006-10-24,"2O8sogKJCfVZ4rotBv1vVF","5eyZZoQEFQWRHkV2xgAeBw"
"11","Our Song",0.668,0.672,-4.931,0.0303,0.111,0,0.329,0.539,89.011,4,201106,FALSE,"D","major","D major","Taylor Swift",2006-10-24,"1j6gmK6u4WNI33lMZ8dC1s","5eyZZoQEFQWRHkV2xgAeBw"
"12","I'm Only Me When I'm With You",0.563,0.934,-3.629,0.0646,0.00452,0.000807,0.103,0.518,143.964,4,213053,FALSE,"G#","major","G# major","Taylor Swift",2006-10-24,"7CzxXgQXurKZCyHz9ufbo1","5eyZZoQEFQWRHkV2xgAeBw"
"13","Invisible",0.612,0.394,-5.723,0.0243,0.637,0,0.147,0.233,96.001,4,203226,FALSE,"G","major","G major","Taylor Swift",2006-10-24,"1k3PzDNjg38cWqOvL4M9vq","5eyZZoQEFQWRHkV2xgAeBw"
"14","A Perfectly Good Heart",0.483,0.751,-5.726,0.0365,0.00349,0,0.128,0.268,156.092,4,220146,FALSE,"E","major","E major","Taylor Swift",2006-10-24,"0YgHuReCSPwTXYny7isLja","5eyZZoQEFQWRHkV2xgAeBw"
"15","Jump Then Fall",0.618,0.687,-5.737,0.0271,0.111,0,0.0693,0.82,79.991,4,237066,FALSE,"D","major","D major","Fearless",2008-11-11,"08gavXombT6KR0af88i9tA","43OpbkiiIxJO8ktIB777Nn"
"16","Untouchable",0.419,0.454,-6.809,0.0335,0.0583,3.78e-06,0.0974,0.288,200.017,4,311040,FALSE,"F","major","F major","Fearless",2008-11-11,"2IZ00ed83ygPIiacYScWUE","43OpbkiiIxJO8ktIB777Nn"
"17","Come In With The Rain",0.527,0.475,-6.205,0.0258,0.0868,4.34e-06,0.248,0.224,143.962,4,238106,FALSE,"D","major","D major","Fearless",2008-11-11,"4pl5zcqCv4vc3cB7M4MZ6f","43OpbkiiIxJO8ktIB777Nn"
"18","SuperStar",0.61,0.531,-6.123,0.0239,0.367,0,0.351,0.228,85.979,4,261453,FALSE,"D","major","D major","Fearless",2008-11-11,"14Bljc3pOOG0xQX3wqhLN9","43OpbkiiIxJO8ktIB777Nn"
