"","track_name","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","duration_ms","explicit","key_name","mode_name","key_mode","album_name","album_release_date","track_id","album_id"
"1","Tim McGraw",0.58,0.491,-6.462,0.0251,0.575,0,0.121,0.425,76.009,4,232106,FALSE,"C","major","C major","Taylor Swift","2006-10-24","0Om9WAB5RS09L80DyOfTNa","7mzrIsaAjnXihW3InKjlC3"
"2","Picture To Burn",0.658,0.877,-2.098,0.0323,0.173,0,0.0962,0.821,105.586,4,173066,FALSE,"G","major","G major","Taylor Swift","2006-10-24","32mVHdy0bi1XKgr0ajsBlG","7mzrIsaAjnXihW3InKjlC3"
"3","Teardrops On My Guitar",0.621,0.417,-6.941,0.0231,0.288,0,0.119,0.289,99.953,4,203040,FALSE,"A#","major","A# major","Taylor Swift","2006-10-24","7zMcNqs55Mxer82bvZFkpg","7mzrIsaAjnXihW3InKjlC3"
"4","A Place in this World",0.576,0.777,-2.881,0.0324,0.051,0,0.32,0.428,115.028,4,199200,FALSE,"A","major","A major","Taylor Swift","2006-10-24","73OX8GdpOeGzKC6OvGSbsv","7mzrIsaAjnXihW3InKjlC3"
"5","Cold As You",0.418,0.482,-5.769,0.0266,0.217,0,0.123,0.261,175.558,4,239013,FALSE,"F","major","F major","Taylor Swift","2006-10-24","7an1exwMnfYRcdVQm0yDev","7mzrIsaAjnXihW3InKjlC3"
"6","The Outside",0.589,0.805,-4.055,0.0293,0.00491,0,0.24,0.591,112.982,4,207106,FALSE,"F","major","F major","Taylor Swift","2006-10-24","2QA3IixpRcKyOdG7XDzRgv","7mzrIsaAjnXihW3InKjlC3"
"7","Tied Together with a Smile",0.479,0.578,-4.963,0.0294,0.525,0,0.0841,0.192,146.165,4,248106,FALSE,"D","major","D major","Taylor Swift","2006-10-24","6K0CJLVXqbGMeJSmJ4ENKK","7mzrIsaAjnXihW3InKjlC3"
"8","Stay Beautiful",0.594,0.629,-4.919,0.0246,0.0868,0,0.137,0.504,131.597,4,236053,FALSE,"G#","major","G# major","Taylor Swift","2006-10-24","2ZoOmCSgj0ypVAmGd1ve4y","7mzrIsaAjnXihW3InKjlC3"
"9","Should've Said No",0.476,0.777,-3.771,0.0289,0.0103,0,0.196,0.472,167.964,4,242200,FALSE,"E","minor","E minor","Taylor Swift","2006-10-24","16MVSD0mGI4RMQT83Qzm69","7mzrIsaAjnXihW3InKjlC3"
"10","Mary's Song (Oh My My My)",0.403,0.627,-5.28,0.0292,0.0177,0,0.182,0.374,74.9,4,213080,FALSE,"D","major","D major","Taylor Swift","2006-10-24","2QrQCMel6v2JiLxqrg4p2O","7mzrIsaAjnXihW3InKjlC3"
"11","Our Song",0.668,0.672,-4.931,0.0303,0.111,0,0.329,0.539,89.011,4,201106,FALSE,"D","major","D major","Taylor Swift","2006-10-24","15DeqWWQB4dcEWzJg15VrN","7mzrIsaAjnXihW3InKjlC3"
"12","I'm Only Me When I'm With You",0.563,0.934,-3.629,0.0646,0.00452,0.000807,0.103,0.518,143.964,4,213053,FALSE,"G#","major","G# major","Taylor Swift","2006-10-24","0JIdBrXGSJXS72zjF9ss9u","7mzrIsaAjnXihW3InKjlC3"
"13","Invisible",0.612,0.394,-5.723,0.0243,0.637,0,0.147,0.233,96.001,4,203226,FALSE,"G","major","G major","Taylor Swift","2006-10-24","5OOd01o2YS1QFwdpVLds3r","7mzrIsaAjnXihW3InKjlC3"
"14","A Perfectly Good Heart",0.483,0.751,-5.726,0.0365,0.00349,0,0.128,0.268,156.092,4,220146,FALSE,"E","major","E major","Taylor Swift","2006-10-24","1spLfUJxtyVyiKKTegQ2r4","7mzrIsaAjnXihW3InKjlC3"
"15","...Ready For It?",0.613,0.764,-6.509,0.136,0.0527,0,0.197,0.417,160.015,4,208186,FALSE,"D","major","D major","reputation","2017-11-10","2yLa0QULdQr0qAIvVwN6B5","6DEjYFkNZh67HP7R9PSZvv"
"16","End Game",0.649,0.589,-6.237,0.0558,0.00845,0,0.108,0.151,159.073,4,244826,FALSE,"D","major","D major","reputation","2017-11-10","2x0WlnmfG39ZuDmstl9xfX","6DEjYFkNZh67HP7R9PSZvv"
"17","I Did Something Bad",0.696,0.602,-6.156,0.159,0.0679,2.11e-05,0.0696,0.305,82.989,4,238253,FALSE,"C","minor","C minor","reputation","2017-11-10","4svZDCRz4cJoneBpjpx8DJ","6DEjYFkNZh67HP7R9PSZvv"
"18","Don’t Blame Me",0.615,0.534,-6.719,0.0386,0.106,1.76e-05,0.0607,0.193,135.917,4,236413,FALSE,"A","minor","A minor","reputation","2017-11-10","1R0a2iXumgCiFb7HEZ7gUE","6DEjYFkNZh67HP7R9PSZvv"
"19","Delicate",0.75,0.404,-10.178,0.0682,0.216,0.000357,0.0911,0.0499,95.045,4,232253,FALSE,"A","minor","A minor","reputation","2017-11-10","6NFyWDv5CjfwuzoCkw47Xf","6DEjYFkNZh67HP7R9PSZvv"
"20","Look What You Made Me Do",0.766,0.709,-6.471,0.123,0.204,1.41e-05,0.126,0.506,128.07,4,211853,FALSE,"A","minor","A minor","reputation","2017-11-10","1P17dC1amhFzptugyAO7Il","6DEjYFkNZh67HP7R9PSZvv"
"21","So It Goes...",0.574,0.61,-7.283,0.0732,0.122,1.1e-06,0.13,0.374,74.957,4,227906,FALSE,"D","major","D major","reputation","2017-11-10","5PxFv9yJEg9dxvbZggykro","6DEjYFkNZh67HP7R9PSZvv"
"22","Gorgeous",0.8,0.535,-6.684,0.135,0.0713,9.48e-06,0.213,0.451,92.027,4,209680,FALSE,"G","major","G major","reputation","2017-11-10","1ZY1PqizIl78geGM4xWlEA","6DEjYFkNZh67HP7R9PSZvv"
"23","Getaway Car",0.562,0.689,-6.745,0.127,0.00465,2.23e-06,0.0888,0.351,172.054,4,233626,FALSE,"D","major","D major","reputation","2017-11-10","0VE4kBnHJUgtMf0dy6DRmW","6DEjYFkNZh67HP7R9PSZvv"
"24","King Of My Heart",0.675,0.703,-7.902,0.0382,0.00882,2.21e-06,0.0391,0.314,110.01,4,214320,FALSE,"C","major","C major","reputation","2017-11-10","7HuBDWi18s4aJM8UFnNheH","6DEjYFkNZh67HP7R9PSZvv"
"25","Dancing With Our Hands Tied",0.624,0.691,-6.686,0.196,0.0604,1.1e-05,0.138,0.284,160.024,4,211506,FALSE,"C","minor","C minor","reputation","2017-11-10","7I7JbDv63ZJJsSi24DyJrz","6DEjYFkNZh67HP7R9PSZvv"
"26","Dress",0.719,0.469,-8.792,0.0533,0.0329,0,0.169,0.0851,120.085,4,230373,FALSE,"C","major","C major","reputation","2017-11-10","6oVxXO5oQ4pTpO8RSnkzvv","6DEjYFkNZh67HP7R9PSZvv"
"27","This Is Why We Can't Have Nice Things",0.567,0.789,-5.986,0.115,0.0156,0,0.382,0.438,163.96,4,207133,FALSE,"F","major","F major","reputation","2017-11-10","07NxDD1iKCHbAldceD7QLP","6DEjYFkNZh67HP7R9PSZvv"
"28","Call It What You Want",0.598,0.504,-9.874,0.0731,0.186,0.000221,0.34,0.252,163.954,4,203506,FALSE,"A","major","A major","reputation","2017-11-10","1GwMQaZz6Au3QLDbjbMdme","6DEjYFkNZh67HP7R9PSZvv"
"29","New Year’s Day",0.661,0.151,-12.864,0.0354,0.921,0,0.13,0.23,94.922,4,235466,FALSE,"C","major","C major","reputation","2017-11-10","7F5oktn5YOsR9eR5YsFtqb","6DEjYFkNZh67HP7R9PSZvv"
"30","I Forgot That You Existed",0.664,0.316,-10.345,0.519,0.298,2.03e-06,0.0812,0.541,92.875,4,170640,FALSE,"F","major","F major","Lover","2019-08-23","43rA71bccXFGD4C8GOpIlN","1NAmidJlEaVgA3MpcPFYGq"
"31","Cruel Summer",0.552,0.702,-5.707,0.157,0.117,2.06e-05,0.105,0.564,169.994,4,178426,FALSE,"A","major","A major","Lover","2019-08-23","1BxfuPKGuaTgP7aM0Bbdwr","1NAmidJlEaVgA3MpcPFYGq"
"32","Lover",0.359,0.543,-7.582,0.0919,0.492,1.58e-05,0.118,0.453,68.534,4,221306,FALSE,"G","major","G major","Lover","2019-08-23","1dGr1c8CrMLDpV6mPbImSI","1NAmidJlEaVgA3MpcPFYGq"
"33","The Man",0.777,0.658,-5.191,0.054,0.0767,0,0.0901,0.633,110.048,4,190360,FALSE,"C","major","C major","Lover","2019-08-23","3RauEVgRgj1IuWdJ9fDs70","1NAmidJlEaVgA3MpcPFYGq"
"34","The Archer",0.292,0.574,-9.375,0.0401,0.12,0.00569,0.0663,0.166,124.344,4,211240,FALSE,"C","major","C major","Lover","2019-08-23","3pHkh7d0lzM2AldUtz2x37","1NAmidJlEaVgA3MpcPFYGq"
"35","I Think He Knows",0.897,0.366,-8.029,0.0569,0.00889,0.000353,0.0715,0.416,100.003,4,173386,FALSE,"C","major","C major","Lover","2019-08-23","2YWtcWi3a83pdEg3Gif4Pd","1NAmidJlEaVgA3MpcPFYGq"
"36","Miss Americana & The Heartbreak Prince",0.662,0.747,-6.926,0.0736,0.028,0.00615,0.138,0.487,150.088,4,234146,FALSE,"B","minor","B minor","Lover","2019-08-23","214nt20w5wOxJnY462klLw","1NAmidJlEaVgA3MpcPFYGq"
